PROCESSO ADMIN. Nº,PROCESSO Nº,Valor Tabelado Anexo I - Tabela I__gt,Valor Tabelado Anexo I - Tabela I__pred,status
2025.815,0804349-58.2022.8.15.2003,"R$ 43.000,00","R$ 43.000,00",TP
2025100613,0804876-33.2023.8.15.0141,"R$ 30.000,00","R$ 30.000,00",TP
2027165660,0802105-51.2025.8.15.0161,"R$ 30.000,00","R$ 30.000,00",TP
2008.2025,0800975-39.2024.8.15.0071,"R$ 30.000,00","R$ 30.000,00",TP
2000001168,0000194-63.2015.8.15.1171,,,TN
2018250235,0804254-69.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2025.2025,0865118-67.2024.8.15.2001,"R$ 30.000,00","R$ 30.000,00",TP
2020.815,0845349-15.2020.8.15.2001,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800165-58.2024.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800473-94.2024.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801059-68.2023.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800496-74.2023.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801674-58.2023.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801101-49.2025.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800462-31.2025.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801404-97.2024.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0800077-25.2021.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2066.61454,0801128-19.2023.8.15.0391,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0801376-32.2024.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2066.61454,0801035-27.2021.8.15.0391,"R$ 30.000,00","R$ 30.000,00",TP
2066.61454,0801034-42.2021.8.15.0391,"R$ 30.000,00","R$ 30.000,00",TP
2000000114,0801660-26.2025.8.15.0131,"R$ 30.000,00","R$ 30.000,00",TP
019390-43.2025.8.15,0805281-87.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
019391-09.2025.8.15,0805181-35.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2008.169,0805161-44.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2095.2025,0805171-88.2025.8.15.0371,"R$ 43.000,00","R$ 43.000,00",TP
2090855660,0800309-81.2018.8.15.0351,"R$ 43.000,00","R$ 43.000,00",TP
2005042413,0801155-49.2024.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
2005042413,0000496-15.2020.8.15.0461,"R$ 30.000,00","R$ 30.000,00",TP
019418-61.2025.8.15,0800581-54.2024.8.15.0581,"R$ 30.000,00","R$ 30.000,00",TP
