PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2035800265,0801427-31.2023.8.15.0541,019909_51_2025_8_15_SEI_019909_51.2025.8.15.zip,019909_51_2025_8_15_SEI_019909_51.2025.8.15.zip,TP
2025815054,0800443-76.2025.8.15.0541,019912_46_2025_8_15_SEI_019912_46.2025.8.15.zip,019912_46_2025_8_15_SEI_019912_46.2025.8.15.zip,TP
019948-83.2025.8.15,,019948_83_2025_8_15_SEI_019948_83.2025.8.15.zip,019948_83_2025_8_15_SEI_019948_83.2025.8.15.zip,TP
2025.815,0800533-41.2025.8.15.0911,019969_48_2025_8_15_SEI_019969_48.2025.8.15.zip,019969_48_2025_8_15_SEI_019969_48.2025.8.15.zip,TP
2025.815,0801435-28.2024.8.15.0911,019970_14_2025_8_15_SEI_019970_14.2025.8.15.zip,019970_14_2025_8_15_SEI_019970_14.2025.8.15.zip,TP
2035800265,0800813-55.2025.8.15.0541,020003_56_2025_8_15_SEI_020003_56.2025.8.15.zip,020003_56_2025_8_15_SEI_020003_56.2025.8.15.zip,TP
2025.815,0801009-25.2025.8.15.0541,020006_51_2025_8_15_SEI_020006_51.2025.8.15.zip,020006_51_2025_8_15_SEI_020006_51.2025.8.15.zip,TP
2005042413,0804093-31.2024.8.15.0521,020013_07_2025_8_15_SEI_020013_07.2025.8.15.zip,020013_07_2025_8_15_SEI_020013_07.2025.8.15.zip,TP
2025605341,0800397-06.2023.8.15.0041,020072_38_2025_8_15_SEI_020072_38.2025.8.15.zip,020072_38_2025_8_15_SEI_020072_38.2025.8.15.zip,TP
2042522400,0801708-71.2022.8.20.5103,020074_67_2025_8_15_SEI_020074_67.2025.8.15.zip,020074_67_2025_8_15_SEI_020074_67.2025.8.15.zip,TP
2071857622,0800148-26.2021.8.15.0041,020075_33_2025_8_15_SEI_020075_33.2025.8.15.zip,020075_33_2025_8_15_SEI_020075_33.2025.8.15.zip,TP
2013378261,0800529-34.2021.8.15.0041,020076_96_2025_8_15_SEI_020076_96.2025.8.15.zip,020076_96_2025_8_15_SEI_020076_96.2025.8.15.zip,TP
2000000968,0801039-47.2021.8.15.0041,020077_62_2025_8_15_SEI_020077_62.2025.8.15.zip,020077_62_2025_8_15_SEI_020077_62.2025.8.15.zip,TP
2064.2025,0801832-91.2025.8.15.0381,020105_80_2025_8_15_SEI_020105_80.2025.8.15.zip,020105_80_2025_8_15_SEI_020105_80.2025.8.15.zip,TP
2091157496,0801594-25.2021.8.15.0151,020227_06_2025_8_15_SEI_020227_06.2025.8.15.zip,020227_06_2025_8_15_SEI_020227_06.2025.8.15.zip,TP
2018000001,0801648-92.2024.8.15.0051,020235_25_2025_8_15_SEI_020235_25.2025.8.15.zip,020235_25_2025_8_15_SEI_020235_25.2025.8.15.zip,TP
2050530850,0800916-47.2025.8.15.0061,020326_35_2025_8_15_SEI_020326_35.2025.8.15.zip,020326_35_2025_8_15_SEI_020326_35.2025.8.15.zip,TP
2025.815,0801030-80.2025.8.15.2002,020455_14_2025_8_15_SEI_020455_14.2025.8.15.zip,020455_14_2025_8_15_SEI_020455_14.2025.8.15.zip,TP
2063.6187,0800020-53.2021.8.15.0381,020468_57_2025_8_15_SEI_020468_57.2025.8.15.zip,020468_57_2025_8_15_SEI_020468_57.2025.8.15.zip,TP
2025.2025,0804115-43.2025.8.15.0331,020531_49_2025_8_15_SEI_020531_49.2025.8.15.zip,020531_49_2025_8_15_SEI_020531_49.2025.8.15.zip,TP
2025.2025,0800917-95.2025.8.15.0331,020533_78_2025_8_15_SEI_020533_78.2025.8.15.zip,020533_78_2025_8_15_SEI_020533_78.2025.8.15.zip,TP
2060230000,0843813-32.2021.8.15.2001,020560_33_2025_8_15_SEI_020560_33.2025.8.15.zip,020560_33_2025_8_15_SEI_020560_33.2025.8.15.zip,TP
2082900000,0801020-63.2025.8.15.0441,020597_36_2025_8_15_SEI_020597_36.2025.8.15.zip,020597_36_2025_8_15_SEI_020597_36.2025.8.15.zip,TP
2014464000,0800247-91.2021.8.15.0171,020603_26_2025_8_15_SEI_020603_26.2025.8.15.zip,020603_26_2025_8_15_SEI_020603_26.2025.8.15.zip,TP
2042000001,0800805-87.2025.8.15.0441,020605_55_2025_8_15_SEI_020605_55.2025.8.15.zip,020605_55_2025_8_15_SEI_020605_55.2025.8.15.zip,TP
2070000011,0801993-52.2024.8.15.0441,020608_50_2025_8_15_SEI_020608_50.2025.8.15.zip,020608_50_2025_8_15_SEI_020608_50.2025.8.15.zip,TP
2025.815,0805007-48.2023.8.15.2003,020615_06_2025_8_15_SEI_020615_06.2025.8.15.zip,020615_06_2025_8_15_SEI_020615_06.2025.8.15.zip,TP
2021718063,0800893-28.2025.8.15.0441,020625_54_2025_8_15_SEI_020625_54.2025.8.15.zip,020625_54_2025_8_15_SEI_020625_54.2025.8.15.zip,TP
2020.04453,0800781-59.2025.8.15.0441,020670_76_2025_8_15_SEI_020670_76.2025.8.15.zip,020670_76_2025_8_15_SEI_020670_76.2025.8.15.zip,TP
2086894713,0006625-63.2012.8.15.0381,020767_76_2025_8_15_SEI_020767_76.2025.8.15.zip,020767_76_2025_8_15_SEI_020767_76.2025.8.15.zip,TP
2010011233,0801255-46.2025.8.15.0371,020768_42_2025_8_15_SEI_020768_42.2025.8.15.zip,020768_42_2025_8_15_SEI_020768_42.2025.8.15.zip,TP
2063.8413,0804389-56.2022.8.15.0381,020770_71_2025_8_15_SEI_020770_71.2025.8.15.zip,020770_71_2025_8_15_SEI_020770_71.2025.8.15.zip,TP
2000001017,0800305-37.2025.8.15.0371,020771_37_2025_8_15_SEI_020771_37.2025.8.15.zip,020771_37_2025_8_15_SEI_020771_37.2025.8.15.zip,TP
020858-86.2025.8.15,0801067-10.2025.8.15.0741,020858_86_2025_8_15_SEI_020858_86.2025.8.15.zip,020858_86_2025_8_15_SEI_020858_86.2025.8.15.zip,TP
020859-52.2025.8.15,0801753-38.2022.8.15.0181,020859_52_2025_8_15_SEI_020859_52.2025.8.15.zip,020859_52_2025_8_15_SEI_020859_52.2025.8.15.zip,TP
2037800000,0801410-73.2024.8.15.0051,020916_54_2025_8_15_SEI_020916_54.2025.8.15.zip,020916_54_2025_8_15_SEI_020916_54.2025.8.15.zip,TP
2023.815,,021007_64_2025_8_15_SEI_021007_64.2025.8.15.zip,021007_64_2025_8_15_SEI_021007_64.2025.8.15.zip,TP
2022.815,0801157-23.2022.8.15.0741,021013_54_2025_8_15_SEI_021013_54.2025.8.15.zip,021013_54_2025_8_15_SEI_021013_54.2025.8.15.zip,TP
2000000990,0800780-74.2018.8.15.0391,021134_14_2025_8_15_SEI_021134_14.2025.8.15.zip,021134_14_2025_8_15_SEI_021134_14.2025.8.15.zip,TP
2012031130,0802311-30.2020.8.15.0391,021186_89_2025_8_15_SEI_021186_89.2025.8.15.zip,021186_89_2025_8_15_SEI_021186_89.2025.8.15.zip,TP
021224-58.2025.8.15,0801253-63.2025.8.15.0731,021224_58_2025_8_15_SEI_021224_58.2025.8.15.zip,021224_58_2025_8_15_SEI_021224_58.2025.8.15.zip,TP
2000001166,0800375-81.2025.8.15.0071,021266_85_2025_8_15_SEI_021266_85.2025.8.15.zip,021266_85_2025_8_15_SEI_021266_85.2025.8.15.zip,TP
2025.815,0800140-74.2025.8.15.0731,021280_94_2025_8_15_SEI_021280_94.2025.8.15.zip,021280_94_2025_8_15_SEI_021280_94.2025.8.15.zip,TP
2024815073,0800317-38.2025.8.15.0731,021284_55_2025_8_15_SEI_021284_55.2025.8.15.zip,021284_55_2025_8_15_SEI_021284_55.2025.8.15.zip,TP
2078.064,0800945-31.2023.8.15.0041,021306_83_2025_8_15_SEI_021306_83.2025.8.15.zip,021306_83_2025_8_15_SEI_021306_83.2025.8.15.zip,TP
021359-27.2025.8.15,0801590-97.2025.8.15.0231,021359_27_2025_8_15_SEI_021359_27.2025.8.15.zip,021359_27_2025_8_15_SEI_021359_27.2025.8.15.zip,TP
2005042413,0801030-05.2024.8.15.0551,021367_46_2025_8_15_SEI_021367_46.2025.8.15.zip,021367_46_2025_8_15_SEI_021367_46.2025.8.15.zip,TP
2005042413,0800124-78.2025.8.15.0551,021374_02_2025_8_15_SEI_021374_02.2025.8.15.zip,021374_02_2025_8_15_SEI_021374_02.2025.8.15.zip,TP
2005042413,0800833-16.2025.8.15.0551,021377_94_2025_8_15_SEI_021377_94.2025.8.15.zip,021377_94_2025_8_15_SEI_021377_94.2025.8.15.zip,TP
2023813000,0800483-29.2023.8.15.0541,021384_50_2025_8_15_SEI_021384_50.2025.8.15.zip,021384_50_2025_8_15_SEI_021384_50.2025.8.15.zip,TP
2096.296,0866055-87.2018.8.15.2001,021430_38_2025_8_15_SEI_021430_38.2025.8.15.zip,021430_38_2025_8_15_SEI_021430_38.2025.8.15.zip,TP
2044.2025,0805172-81.2020.8.15.0231,021483_79_2025_8_15_SEI_021483_79.2025.8.15.zip,021483_79_2025_8_15_SEI_021483_79.2025.8.15.zip,TP
2013826054,0801803-65.2024.8.15.0061,021488_06_2025_8_15_SEI_021488_06.2025.8.15.zip,021488_06_2025_8_15_SEI_021488_06.2025.8.15.zip,TP
021510-34.2025.8.15,0828969-58.2024.8.15.0001,021510_34_2025_8_15_SEI_021510_34.2025.8.15.zip,021510_34_2025_8_15_SEI_021510_34.2025.8.15.zip,TP
2025605828,0802846-46.2023.8.15.0231,021547_37_2025_8_15_SEI_021547_37.2025.8.15.zip,021547_37_2025_8_15_SEI_021547_37.2025.8.15.zip,TP
2071513495,0800465-07.2022.8.15.0391,021609_63_2025_8_15_SEI_021609_63.2025.8.15.zip,021609_63_2025_8_15_SEI_021609_63.2025.8.15.zip,TP
2061216362,0800885-94.2022.8.15.0881,021636_18_2025_8_15_SEI_021636_18.2025.8.15.zip,021636_18_2025_8_15_SEI_021636_18.2025.8.15.zip,TP
021726-62.2025.8.15,0809943-31.2024.8.15.0371,021726_62_2025_8_15_SEI_021726_62.2025.8.15.zip,021726_62_2025_8_15_SEI_021726_62.2025.8.15.zip,TP
2000001173,0800430-22.2022.8.15.0561,021820_67_2025_8_15_SEI_021820_67.2025.8.15.zip,021820_67_2025_8_15_SEI_021820_67.2025.8.15.zip,TP
022027-13.2025.8.15,0801232-63.2025.8.15.0351,022027_13_2025_8_15_SEI_022027_13.2025.8.15.zip,022027_13_2025_8_15_SEI_022027_13.2025.8.15.zip,TP
2025.815,0802789-85.2025.8.15.0351,022047_12_2025_8_15_SEI_022047_12.2025.8.15.zip,022047_12_2025_8_15_SEI_022047_12.2025.8.15.zip,TP
022061-21.2025.8.15,0802787-18.2025.8.15.0351,022061_21_2025_8_15_SEI_022061_21.2025.8.15.zip,022061_21_2025_8_15_SEI_022061_21.2025.8.15.zip,TP
2022.815,0806165-11.2022.8.15.0731,022090_05_2025_8_15_SEI_022090_05.2025.8.15.zip,022090_05_2025_8_15_SEI_022090_05.2025.8.15.zip,TP
2008324544,0800016-38.2023.8.15.0351,022157_55_2025_8_15_SEI_022157_55.2025.8.15.zip,022157_55_2025_8_15_SEI_022157_55.2025.8.15.zip,TP
2045545624,0818809-90.2021.8.15.2001,022527_85_2025_8_15_SEI_022527_85.2025.8.15.zip,022527_85_2025_8_15_SEI_022527_85.2025.8.15.zip,TP
