PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2025.815,0802828-51.2024.8.15.0211,016110_13_2025_8_15_SEI_016110_13.2025.8.15.zip,016110_13_2025_8_15_SEI_016110_13.2025.8.15.zip,TP
2024.815,0803087-46.2024.8.15.0211,016144_21_2025_8_15_SEI_016144_21.2025.8.15.zip,016144_21_2025_8_15_SEI_016144_21.2025.8.15.zip,TP
016155-35.2025.8.15,0803389-75.2024.8.15.0211,016155_35_2025_8_15_SEI_016155_35.2025.8.15.zip,016155_35_2025_8_15_SEI_016155_35.2025.8.15.zip,TP
2000000931,0804518-18.2024.8.15.0211,016158_30_2025_8_15_SEI_016158_30.2025.8.15.zip,016158_30_2025_8_15_SEI_016158_30.2025.8.15.zip,TP
2000000862,0802999-08.2024.8.15.0211,016178_29_2025_8_15_SEI_016178_29.2025.8.15.zip,016178_29_2025_8_15_SEI_016178_29.2025.8.15.zip,TP
2041927123,0804778-35.2016.8.15.2003,016774_38_2025_8_15_SEI_016774_38.2025.8.15.zip,016774_38_2025_8_15_SEI_016774_38.2025.8.15.zip,TP
2043184850,0800748-50.2022.8.15.0061,017003_12_2025_8_15_SEI_017003_12.2025.8.15.zip,017003_12_2025_8_15_SEI_017003_12.2025.8.15.zip,TP
017493-36.2025.8.15,0802076-69.2023.8.15.0161,017493_36_2025_8_15_SEI_017493_36.2025.8.15.zip,017493_36_2025_8_15_SEI_017493_36.2025.8.15.zip,TP
2072162100,0802374-37.2025.8.15.0211,017509_74_2025_8_15_SEI_017509_74.2025.8.15.zip,017509_74_2025_8_15_SEI_017509_74.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017649_67_2025_8_15_SEI_017649_67.2025.8.15.zip,017649_67_2025_8_15_SEI_017649_67.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017650_33_2025_8_15_SEI_017650_33.2025.8.15.zip,017650_33_2025_8_15_SEI_017650_33.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017651_96_2025_8_15_SEI_017651_96.2025.8.15.zip,017651_96_2025_8_15_SEI_017651_96.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017652_62_2025_8_15_SEI_017652_62.2025.8.15.zip,017652_62_2025_8_15_SEI_017652_62.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017653_28_2025_8_15_SEI_017653_28.2025.8.15.zip,017653_28_2025_8_15_SEI_017653_28.2025.8.15.zip,TP
2005042413,0801610-82.2023.8.15.0191,017654_91_2025_8_15_SEI_017654_91.2025.8.15.zip,017654_91_2025_8_15_SEI_017654_91.2025.8.15.zip,TP
2025.815,0802858-06.2022.8.15.0131,017778_46_2025_8_15_SEI_017778_46.2025.8.15.zip,017778_46_2025_8_15_SEI_017778_46.2025.8.15.zip,TP
2057.9358,0874905-96.2019.8.15.2001,017806_64_2025_8_15_SEI_017806_64.2025.8.15.zip,017806_64_2025_8_15_SEI_017806_64.2025.8.15.zip,TP
2043.2025,0800820-16.2024.8.15.0401,017961_32_2025_8_15_SEI_017961_32.2025.8.15.zip,017961_32_2025_8_15_SEI_017961_32.2025.8.15.zip,TP
2025.815,0809114-50.2024.8.15.0371,018077_65_2025_8_15_SEI_018077_65.2025.8.15.zip,018077_65_2025_8_15_SEI_018077_65.2025.8.15.zip,TP
2021030239,0803249-41.2024.8.15.0211,018142_86_2025_8_15_SEI_018142_86.2025.8.15.zip,018142_86_2025_8_15_SEI_018142_86.2025.8.15.zip,TP
2000001074,0803648-70.2024.8.15.0211,018143_52_2025_8_15_SEI_018143_52.2025.8.15.zip,018143_52_2025_8_15_SEI_018143_52.2025.8.15.zip,TP
2025.815,0847455-13.2021.8.15.2001,018172_36_2025_8_15_SEI_018172_36.2025.8.15.zip,018172_36_2025_8_15_SEI_018172_36.2025.8.15.zip,TP
2025.815,0842262-80.2022.8.15.2001,018174_65_2025_8_15_SEI_018174_65.2025.8.15.zip,018174_65_2025_8_15_SEI_018174_65.2025.8.15.zip,TP
2005042413,,018248_71_2025_8_15_SEI_018248_71.2025.8.15.zip,018248_71_2025_8_15_SEI_018248_71.2025.8.15.zip,TP
2021.815,0800545-02.2021.8.15.1071,018259_85_2025_8_15_SEI_018259_85.2025.8.15.zip,018259_85_2025_8_15_SEI_018259_85.2025.8.15.zip,TP
2010011233,0801804-56.2025.8.15.0371,018356_85_2025_8_15_SEI_018356_85.2025.8.15.zip,018356_85_2025_8_15_SEI_018356_85.2025.8.15.zip,TP
2000001164,0801282-77.2025.8.15.0161,018373_89_2025_8_15_SEI_018373_89.2025.8.15.zip,018373_89_2025_8_15_SEI_018373_89.2025.8.15.zip,TP
2025.815,0856615-28.2022.8.15.2001,018375_21_2025_8_15_SEI_018375_21.2025.8.15.zip,018375_21_2025_8_15_SEI_018375_21.2025.8.15.zip,TP
2025100213,0812004-31.2024.8.15.0251,018388_64_2025_8_15_SEI_018388_64.2025.8.15.zip,018388_64_2025_8_15_SEI_018388_64.2025.8.15.zip,TP
2000001137,0804780-81.2024.8.15.0141,018394_54_2025_8_15_SEI_018394_54.2025.8.15.zip,018394_54_2025_8_15_SEI_018394_54.2025.8.15.zip,TP
2025.2025,0801525-30.2024.8.15.0331,018492_20_2025_8_15_SEI_018492_20.2025.8.15.zip,018492_20_2025_8_15_SEI_018492_20.2025.8.15.zip,TP
2025.2025,0806890-65.2024.8.15.0331,018504_97_2025_8_15_SEI_018504_97.2025.8.15.zip,018504_97_2025_8_15_SEI_018504_97.2025.8.15.zip,TP
2025.2025,0809027-20.2024.8.15.0331,018510_87_2025_8_15_SEI_018510_87.2025.8.15.zip,018510_87_2025_8_15_SEI_018510_87.2025.8.15.zip,TP
